feature,importance_mean,importance_std
USD_Futures,0.0,0.0
USD_GBP,0.0,0.0
USD_EUR,0.0,0.0
USD_JPY,0.0,0.0
USD_CNY,0.0,0.0
GOLD,0.0,0.0
WTI,0.0,0.0
US_Mkt_Index,0.0,0.0
UK_Mkt_Index,0.0,0.0
GER_Mkt_Index,0.0,0.0
JP_Mkt_Index,0.0,0.0
CN_Mkt_Index,0.0,0.0
HK_Mkt_Index,0.0,0.0
VIX,0.0,0.0
EPU_D,0.0,0.0
US_3M,0.0,0.0
US_10Y,0.0,0.0
UK_3M,0.0,0.0
UK_10Y,0.0,0.0
GER_3M,0.0,0.0
GER_10Y,0.0,0.0
JP_10Y,0.0,0.0
CN_10Y,0.0,0.0
MA_gap_5,0.0,0.0
BBW_5,0.0,0.0
MA_gap_20,0.0,0.0
BBW_20,0.0,0.0
MA_gap_60,0.0,0.0
BBW_60,0.0,0.0
ret_lag_1,0.0,0.0
