feature,importance_mean,importance_std
MA_gap_60,1.1393617767006467e-05,4.612498298839956e-06
MA_gap_20,9.524535968306446e-06,3.970713164814235e-06
EPU_D,4.0822932163123856e-06,4.0482179312572435e-06
US_CPI,2.7835114772689975e-06,1.583341994577907e-06
MA_gap_5,2.3343005608767246e-06,1.3662501346059956e-06
USD_JPY,1.999548551153557e-06,3.6831105131550065e-06
US_3M,1.574760808194329e-06,5.593884340982463e-07
US_10Y,1.1235606292878814e-06,8.498089983367885e-07
BBW_60,8.327894970263511e-07,2.862888293316226e-07
UK_TermSpread,8.312409805189686e-07,7.108797278843841e-07
ret_lag_2,4.797911127486787e-07,1.867957857647125e-06
UK_10Y,4.4416666883538224e-07,9.524144328235085e-07
CN_Mkt_Index,3.2862016425775493e-07,2.5173615179799966e-07
US_TermSpread,2.2963585749550402e-07,1.2265471316010312e-07
ret_lag_20,1.2592163624357625e-07,1.9882693018471038e-07
CN_CPI,7.500552027138105e-08,5.5059563923025786e-08
Output_Gap,0.0,0.0
GDP,0.0,0.0
GER_10Y,-5.484399840521848e-10,2.0634223760875174e-08
VIX,-2.008845232581366e-08,2.9500515652461867e-08
ret_lag_5,-4.0103274499391633e-08,2.9364515842434715e-07
GER_3M,-9.643929556029524e-08,5.2732118091746754e-08
UK_3M,-2.420173662978468e-07,1.5413991132652106e-07
GER_TermSpread,-2.593292095755956e-07,1.3961570777424208e-07
CN_10Y,-3.9521068927817273e-07,1.6369761338606905e-07
USD_CNY,-5.948099526062283e-07,5.835205319772493e-07
USD_Futures,-8.840259013964333e-07,3.8969831306359383e-07
Euro_CPI,-1.0912553895403576e-06,6.714349855902784e-07
JP_CPI,-1.4337760379701595e-06,9.819771671120482e-07
ret_lag_1,-2.0543900867758466e-06,1.0867216355479186e-06
