feature,importance
USD_Futures,5.511364553823124e-05
US_Mkt_Index,4.7106326362096954e-05
USD_EUR,4.334713508543503e-05
MA_gap_5,2.7719200999072255e-06
US_CPI,2.1869342009444084e-06
US_3M,1.603699672008893e-06
USD_GBP,8.918046691900466e-07
GER_Mkt_Index,1.5662195231112147e-07
ret_lag_10,1.142818052283015e-07
USD_JPY,1.493906362504127e-08
USD_CNY,0.0
US_TermSpread,0.0
JP_Mkt_Index,0.0
WTI,0.0
UK_Mkt_Index,0.0
EPU_D,0.0
US_10Y,0.0
VIX,0.0
CN_Mkt_Index,0.0
UK_10Y,0.0
GER_3M,0.0
JP_10Y,0.0
GER_10Y,0.0
CN_10Y,0.0
BBW_5,0.0
UK_3M,0.0
HK_Mkt_Index,0.0
Output_Gap,0.0
MA_gap_20,0.0
ret_lag_1,0.0
MA_gap_60,0.0
ret_lag_2,0.0
ret_lag_5,0.0
ret_lag_20,0.0
BBW_60,0.0
CN_CPI,0.0
UK_TermSpread,0.0
GDP,0.0
GER_TermSpread,0.0
Euro_CPI,0.0
GOLD,-2.547114106438153e-09
BBW_20,-6.889043889166113e-09
JP_CPI,-9.801135700433783e-08
