feature,importance
US_CPI,5.1169536401357574e-05
Euro_CPI,3.672063014346829e-05
ret_lag_1,2.4488241003118097e-05
USD_Futures,2.4037691098225712e-05
GER_TermSpread,1.880515543247179e-05
MA_gap_20,1.8347133536550028e-05
US_3M,1.4905577397941912e-05
US_Mkt_Index,1.1962925162145588e-05
GER_3M,1.1130889548164984e-05
USD_EUR,1.1082238400884903e-05
UK_3M,1.0950877952858006e-05
BBW_20,1.0863662310488416e-05
UK_TermSpread,8.914241043759229e-06
ret_lag_20,8.62658804878444e-06
MA_gap_60,6.864061353493989e-06
UK_Mkt_Index,6.815051170360777e-06
MA_gap_5,5.8776225139436575e-06
ret_lag_10,5.59306782632607e-06
WTI,5.416666170520064e-06
ret_lag_2,5.185170667442417e-06
VIX,4.910624845598337e-06
HK_Mkt_Index,4.42871848212005e-06
EPU_D,4.022883600943508e-06
UK_10Y,4.010597534681061e-06
JP_CPI,3.746751643666363e-06
BBW_60,3.712592518373241e-06
GER_10Y,2.617167573696136e-06
JP_Mkt_Index,2.3894717806104485e-06
JP_10Y,2.3601739994032894e-06
US_10Y,2.2126728053155006e-06
US_TermSpread,9.945916457183498e-07
ret_lag_5,8.503885539678027e-07
Output_Gap,8.337861613872885e-07
CN_CPI,4.221441660618233e-07
CN_Mkt_Index,8.624065917384877e-08
USD_GBP,2.3992335179343072e-08
USD_CNY,-1.0812308889997582e-06
GDP,-1.2689667029134807e-06
GOLD,-1.3327431273935444e-06
USD_JPY,-2.025278591727929e-06
BBW_5,-2.3936509121729593e-06
GER_Mkt_Index,-2.7726427754984698e-06
CN_10Y,-4.337991686543738e-06
