feature,importance
USD_Futures,-1.734723475976807e-18
USD_GBP,-1.734723475976807e-18
USD_EUR,-1.734723475976807e-18
USD_JPY,-1.734723475976807e-18
USD_CNY,-1.734723475976807e-18
GOLD,-1.734723475976807e-18
WTI,-1.734723475976807e-18
US_Mkt_Index,-1.734723475976807e-18
UK_Mkt_Index,-1.734723475976807e-18
GER_Mkt_Index,-1.734723475976807e-18
JP_Mkt_Index,-1.734723475976807e-18
CN_Mkt_Index,-1.734723475976807e-18
HK_Mkt_Index,-1.734723475976807e-18
VIX,-1.734723475976807e-18
EPU_D,-1.734723475976807e-18
US_3M,-1.734723475976807e-18
US_10Y,-1.734723475976807e-18
UK_3M,-1.734723475976807e-18
UK_10Y,-1.734723475976807e-18
GER_3M,-1.734723475976807e-18
GER_10Y,-1.734723475976807e-18
JP_10Y,-1.734723475976807e-18
CN_10Y,-1.734723475976807e-18
MA_gap_5,-1.734723475976807e-18
BBW_5,-1.734723475976807e-18
MA_gap_20,-1.734723475976807e-18
BBW_20,-1.734723475976807e-18
MA_gap_60,-1.734723475976807e-18
BBW_60,-1.734723475976807e-18
ret_lag_1,-1.734723475976807e-18
ret_lag_2,-1.734723475976807e-18
ret_lag_5,-1.734723475976807e-18
ret_lag_10,-1.734723475976807e-18
ret_lag_20,-1.734723475976807e-18
US_TermSpread,-1.734723475976807e-18
UK_TermSpread,-1.734723475976807e-18
GER_TermSpread,-1.734723475976807e-18
GDP,-1.734723475976807e-18
Output_Gap,-1.734723475976807e-18
US_CPI,-1.734723475976807e-18
Euro_CPI,-1.734723475976807e-18
JP_CPI,-1.734723475976807e-18
CN_CPI,-1.734723475976807e-18
