feature,importance
JP_CPI,0.0004553569866729435
US_CPI,0.0003896288736257563
BBW_20,0.0002490556758127302
VIX,0.0001455832019526971
MA_gap_60,0.00013321694652525772
MA_gap_20,0.00011820127594573855
BBW_60,0.00010858560827003982
US_10Y,8.30487186708178e-05
Output_Gap,7.372856911783306e-05
Euro_CPI,7.201134071632004e-05
CN_CPI,6.543699153526913e-05
US_3M,4.553635343232214e-05
US_TermSpread,4.1333516190043135e-05
BBW_5,4.0644933510079403e-05
GER_TermSpread,3.8416321574674325e-05
MA_gap_5,2.4565956174497916e-05
CN_10Y,2.2966968369640683e-05
UK_3M,1.796562134542129e-05
JP_10Y,1.6741765195600264e-05
GDP,1.5947526877221202e-05
ret_lag_5,1.5020232459146687e-05
JP_Mkt_Index,1.3690379312964948e-05
GER_10Y,1.349253584120684e-05
ret_lag_1,1.1405491896526038e-05
HK_Mkt_Index,1.0858740996875713e-05
GER_3M,8.081554705486466e-06
GOLD,8.062484936822989e-06
ret_lag_2,7.68924307853816e-06
UK_10Y,7.64998240324749e-06
UK_Mkt_Index,6.909524673061329e-06
UK_TermSpread,6.768106404847485e-06
EPU_D,6.72936783686906e-06
USD_CNY,5.993192808495876e-06
USD_EUR,4.003388111663286e-06
US_Mkt_Index,3.4468723402025087e-06
USD_Futures,3.2676887611379074e-06
WTI,3.261443790919874e-06
ret_lag_20,3.1580053541507835e-06
USD_GBP,2.4850357604761647e-06
ret_lag_10,2.1606438181179244e-06
CN_Mkt_Index,1.8659994173095273e-06
GER_Mkt_Index,1.2953453036208817e-06
USD_JPY,-2.748456155114015e-06
