feature,importance
Euro_CPI,0.015384613884982369
US_10Y,0.01094683965225641
US_CPI,0.01072538660577487
GER_TermSpread,0.010693417799560524
UK_TermSpread,0.008398085755940221
BBW_60,0.006420887373867026
GER_3M,0.0058959101693259065
VIX,0.005570266618646793
UK_10Y,0.005498383972215281
MA_gap_20,0.005346843641924901
JP_10Y,0.005179776938813841
UK_3M,0.00511525585503479
US_TermSpread,0.004249973641750851
GER_10Y,0.004027799413703145
US_3M,0.003950618547756463
MA_gap_5,0.00388243062492165
USD_CNY,0.0037703416181495523
ret_lag_1,0.003753128822764523
USD_Futures,0.003646996295131785
MA_gap_60,0.0032298422352444334
BBW_20,0.003197114404920756
CN_10Y,0.0029059086304639714
JP_CPI,0.002673773258786887
US_Mkt_Index,0.0026732988234817057
USD_JPY,0.0026082680766696727
BBW_5,0.002555284755320195
HK_Mkt_Index,0.0024662255259939366
USD_EUR,0.002465701388846331
USD_GBP,0.0024336000196800763
CN_Mkt_Index,0.0022941643867521126
ret_lag_5,0.002286215221187809
ret_lag_20,0.0022580211410240855
EPU_D,0.0022305737256352424
ret_lag_10,0.002224136667047698
GER_Mkt_Index,0.0021852780674977996
WTI,0.0021665130478552425
JP_Mkt_Index,0.0021602800208872838
CN_CPI,0.0020396423455713037
ret_lag_2,0.0019023006589063973
GDP,0.0017064074625041618
UK_Mkt_Index,0.0015481667468870905
GOLD,0.001399975277874884
Output_Gap,0.0007437166608567167
