feature,importance
US_Mkt_Index,7.1871456199777e-05
USD_GBP,1.253548742394077e-05
Euro_CPI,7.62365767392921e-06
USD_EUR,5.297510917181419e-06
ret_lag_5,4.572689836414116e-06
ret_lag_1,4.19582376401384e-06
US_CPI,2.9238651696071247e-06
HK_Mkt_Index,2.564821279579972e-06
MA_gap_60,2.4810586581533456e-06
MA_gap_5,2.3813763223769907e-06
GER_Mkt_Index,1.919175654960595e-06
BBW_5,1.6466101407010963e-06
US_10Y,1.591956006448056e-06
ret_lag_10,1.4863228186556832e-06
GOLD,1.429670153072632e-06
UK_Mkt_Index,1.4274573493719411e-06
USD_CNY,1.201441968836682e-06
MA_gap_20,1.155799609423025e-06
ret_lag_2,1.0524216010427898e-06
CN_CPI,9.353884314680649e-07
BBW_20,8.521523731114949e-07
JP_Mkt_Index,8.364333116519032e-07
USD_Futures,7.782382756395603e-07
USD_JPY,6.680124300263018e-07
ret_lag_20,6.2551413458449e-07
JP_CPI,6.210048577055122e-07
WTI,5.76813568565343e-07
BBW_60,5.22629107590003e-07
EPU_D,4.689203536040881e-07
CN_Mkt_Index,4.4018161534341294e-07
VIX,4.2786683862334335e-07
UK_10Y,3.28901278420779e-07
UK_3M,3.221317236481308e-07
US_TermSpread,3.076224055738666e-07
GDP,2.47889306309243e-07
US_3M,2.3635127941769307e-07
CN_10Y,2.3450177943484113e-07
GER_3M,2.2669648430066053e-07
UK_TermSpread,2.0877302197956638e-07
JP_10Y,1.358191317121782e-07
GER_10Y,7.461898497013175e-08
GER_TermSpread,4.563607291455801e-08
Output_Gap,3.223358979037583e-08
