feature,importance
Euro_CPI,0.0023072023809675695
US_CPI,0.0022112729109291154
JP_10Y,0.0004317007061895167
US_3M,0.00016270749997661198
US_10Y,0.00016076325389013935
VIX,0.00013243103786103085
GER_3M,0.0001254925986839718
USD_EUR,0.00010967625976478733
ret_lag_1,8.934221707212163e-05
UK_3M,8.139927857275624e-05
BBW_60,5.3919239063426536e-05
GER_10Y,4.7392236551577205e-05
USD_JPY,4.2010004264611545e-05
UK_10Y,3.774030061514701e-05
USD_Futures,2.9974774390709863e-05
JP_Mkt_Index,2.8136551594823422e-05
UK_TermSpread,2.2549233896787535e-05
CN_CPI,1.3903871668819595e-05
US_TermSpread,1.2277944890662015e-05
USD_GBP,5.293723153812838e-06
MA_gap_20,5.056557238878115e-06
ret_lag_20,4.528780116924355e-06
GER_Mkt_Index,2.9074038134981744e-06
MA_gap_5,1.8293579462352189e-06
US_Mkt_Index,6.705324466071277e-07
ret_lag_10,3.9377676128160566e-07
USD_CNY,6.128989741074897e-08
ret_lag_2,2.8257522375826905e-08
Output_Gap,2.6554059296898802e-08
EPU_D,-1.1842587794262671e-07
ret_lag_5,-2.1374784628380716e-07
GDP,-5.230799896664695e-07
GOLD,-2.157322390653263e-06
MA_gap_60,-2.2506657584714373e-06
UK_Mkt_Index,-2.490839007052159e-06
CN_Mkt_Index,-2.9203125732225194e-06
CN_10Y,-4.698784215575319e-06
WTI,-1.0349928176292544e-05
HK_Mkt_Index,-1.0604453173520406e-05
BBW_20,-1.10724245511052e-05
JP_CPI,-1.4563368937542398e-05
BBW_5,-1.9929794465143105e-05
GER_TermSpread,-6.013304919966732e-05
