feature,importance
US_3M,2.7762890981447227e-05
JP_CPI,2.0099117810243317e-05
Euro_CPI,1.7852000880716132e-05
US_TermSpread,1.778649031817202e-05
UK_3M,1.1881632668370862e-05
US_CPI,1.095126897661218e-05
GER_3M,8.06979470666623e-06
UK_10Y,6.419274684588139e-06
JP_Mkt_Index,6.231863978953256e-06
BBW_20,5.00094685018139e-06
USD_JPY,3.926432535508728e-06
USD_Futures,3.849603395250645e-06
USD_EUR,3.144013141678781e-06
ret_lag_20,2.8891161197863724e-06
GOLD,2.0560724134227604e-06
MA_gap_5,1.84212513849695e-06
Output_Gap,1.2453244625631327e-06
GER_TermSpread,3.0956733642131806e-07
GER_Mkt_Index,2.853023373852043e-07
USD_CNY,2.0133083263908225e-07
EPU_D,2.6406894226838062e-08
ret_lag_10,-7.607162327855771e-07
UK_TermSpread,-7.944628856032532e-07
CN_CPI,-1.0423297542860865e-06
ret_lag_5,-1.1274629681725518e-06
GER_10Y,-1.1718819855864593e-06
ret_lag_2,-1.2079366272701314e-06
USD_GBP,-1.3952843718658542e-06
VIX,-1.5456229449928305e-06
US_Mkt_Index,-1.7974492978571621e-06
US_10Y,-2.119672397035699e-06
WTI,-2.91812779261956e-06
ret_lag_1,-4.02729557394052e-06
MA_gap_20,-4.2523459230919824e-06
MA_gap_60,-4.762951367125873e-06
CN_10Y,-5.979299386576001e-06
GDP,-6.209204847040448e-06
UK_Mkt_Index,-7.993133418046985e-06
CN_Mkt_Index,-1.054746153864028e-05
HK_Mkt_Index,-1.0774970591617347e-05
JP_10Y,-1.4951626174954796e-05
BBW_60,-1.843701770908035e-05
BBW_5,-2.2612104302823302e-05
