feature,importance
Euro_CPI,0.000523443818239289
US_CPI,0.00042481554434188606
JP_CPI,0.0004004049611112531
UK_TermSpread,0.00013493605988084724
Output_Gap,0.00011514751420889889
US_10Y,0.00010124166056329868
CN_CPI,7.905727341575401e-05
BBW_20,5.841554178572482e-05
MA_gap_60,5.7673633296782476e-05
MA_gap_20,5.3006612612241724e-05
UK_10Y,4.858964239247941e-05
US_3M,3.547115629067531e-05
GDP,3.507728025394993e-05
US_TermSpread,2.604361405358739e-05
JP_10Y,2.427804133427712e-05
CN_10Y,1.7161328607961934e-05
GER_TermSpread,8.41893002055151e-06
GER_Mkt_Index,6.244747618644811e-06
GER_10Y,4.985768595811013e-06
MA_gap_5,2.5864210623800094e-06
UK_3M,2.244586916793148e-06
USD_CNY,1.680915514066031e-06
USD_Futures,0.0
USD_JPY,0.0
GOLD,0.0
USD_GBP,0.0
USD_EUR,0.0
ret_lag_5,0.0
ret_lag_2,0.0
US_Mkt_Index,0.0
JP_Mkt_Index,0.0
HK_Mkt_Index,0.0
EPU_D,0.0
CN_Mkt_Index,0.0
BBW_5,0.0
ret_lag_10,0.0
ret_lag_20,0.0
ret_lag_1,0.0
UK_Mkt_Index,-8.381737282708857e-08
WTI,-1.4015679344718535e-07
GER_3M,-2.1207775397803774e-07
BBW_60,-4.377422259786018e-06
VIX,-4.711766049780158e-06
