feature,importance
JP_CPI,0.0013222918
US_CPI,0.0010482087
Euro_CPI,0.00051902886
UK_10Y,0.00045850922
US_TermSpread,0.00044748952
CN_CPI,0.00033404908
US_10Y,0.00029025783
US_3M,0.0002453399
BBW_20,0.00023718711
Output_Gap,0.00018632726
MA_gap_60,0.00017331899
BBW_60,0.00014049138
MA_gap_20,0.00013312008
JP_10Y,0.00012936677
GDP,9.99176e-05
UK_TermSpread,8.801292e-05
CN_10Y,4.018432e-05
VIX,2.9453886e-05
GER_10Y,2.4440926e-05
UK_3M,2.325405e-05
GER_TermSpread,1.7357916e-05
GER_3M,1.012015e-05
MA_gap_5,8.463864e-06
GER_Mkt_Index,7.164755e-06
USD_CNY,2.3635541e-06
WTI,1.3328606e-06
UK_Mkt_Index,3.5669726e-07
ret_lag_20,1.8534512e-07
ret_lag_10,1.4178835e-07
USD_GBP,1.2159569e-07
GOLD,8.7435396e-08
CN_Mkt_Index,4.7844505e-08
USD_Futures,0.0
USD_JPY,0.0
USD_EUR,0.0
JP_Mkt_Index,0.0
US_Mkt_Index,0.0
EPU_D,0.0
HK_Mkt_Index,0.0
BBW_5,0.0
ret_lag_5,0.0
ret_lag_1,0.0
ret_lag_2,0.0
