model,H,mse,rmse,mae,oos_r2_vs0,oos_r2_vsmean,sign_acc,n_test_eval
RandomWalk,1,2.17E-05,0.004654176,0.003483693,0,-6.63E-05,0.026522593,1018
Ridge,1,2.13E-05,0.004614044,0.003464791,0.017171045,0.01710586,0.540275049,1018
Lasso,1,2.13E-05,0.004616126,0.00346018,0.016284072,0.016218829,0.527504912,1018
ElasticNet,1,2.12E-05,0.004602374,0.003451309,0.022136529,0.022071674,0.519646365,1018
RandomForest,1,2.14E-05,0.004628917,0.00348057,0.010824922,0.010759317,0.486247544,1018
XGBoost,1,2.14E-05,0.004630469,0.003476532,0.01016138,0.010095731,0.49410609,1018
LightGBM,1,2.18E-05,0.004666554,0.003498268,-0.005325972,-0.005392648,0.47740668,1018
RandomWalk,5,0.000100062,0.010003099,0.007526831,0,-0.000362877,0.006876228,1018
Ridge,5,0.000103162,0.010156887,0.0077039,-0.030984369,-0.031358489,0.521611002,1018
Lasso,5,0.000100056,0.010002823,0.007523158,5.52E-05,-0.000307644,0.515717092,1018
ElasticNet,5,0.000100056,0.010002823,0.007523158,5.52E-05,-0.000307644,0.515717092,1018
RandomForest,5,9.52E-05,0.009759126,0.007347533,0.048184562,0.04783917,0.567779961,1018
XGBoost,5,9.71E-05,0.00985237,0.007418142,0.029909427,0.029557404,0.559921415,1018
LightGBM,5,9.44E-05,0.009714943,0.007300522,0.056783461,0.056441189,0.57956778,1018
RandomWalk,10,0.00019644,0.014015695,0.010962024,0,-0.000628803,0.002946955,1018
Ridge,10,0.00020169,0.014201755,0.011227812,-0.026726376,-0.027371984,0.530451866,1018
Lasso,10,0.000196384,0.014013697,0.010958663,0.000285171,-0.000343453,0.510805501,1018
ElasticNet,10,0.000196384,0.014013697,0.010958663,0.000285171,-0.000343453,0.510805501,1018
RandomForest,10,0.000162267,0.012738423,0.010046316,0.173958211,0.173438794,0.640471513,1018
XGBoost,10,0.000175948,0.013264553,0.010439351,0.1043137,0.10375049,0.589390963,1018
LightGBM,10,0.00015678,0.012521202,0.009749306,0.201890047,0.201388194,0.644400786,1018
RandomWalk,20,0.000406898,0.020171711,0.016531867,0,-0.001208935,0.002946955,1018
Ridge,20,0.000417579,0.02043474,0.01637806,-0.026249065,-0.027489734,0.541257367,1018
Lasso,20,0.000406572,0.020163631,0.016522743,0.000800916,-0.000407051,0.506876228,1018
ElasticNet,20,0.000406572,0.020163631,0.016522743,0.000800916,-0.000407051,0.506876228,1018
RandomForest,20,0.000242277,0.015565236,0.012643201,0.404576497,0.403856669,0.735756385,1018
XGBoost,20,0.000326922,0.018080983,0.01468425,0.196550456,0.195579138,0.644400786,1018
LightGBM,20,0.000117123,0.010822327,0.008409268,0.712156905,0.711808921,0.858546169,1018
