model,H,strategy,tau,phase,use_non_overlapping,episode_start,episode_end,episode_len,regime,n_obs,mean_log_ret,std_log_ret,sharpe_ann,max_drawdown,hit_rate
BASELINE,1,always_long,0,0,TRUE,2021-11-26,2021-12-21,18,high,18,-5.78E-06,0.003027555,-0.030316573,-0.005488247,0.5
BASELINE,1,always_short,0,0,TRUE,2021-11-26,2021-12-21,18,high,18,5.78E-06,0.003027555,0.030316573,-0.007041524,0.5
BASELINE,1,cash,0,0,TRUE,2021-11-26,2021-12-21,18,high,18,0,0,,0,0
ElasticNet,1,model,0,0,TRUE,2021-11-26,2021-12-21,18,high,18,0.00150903,0.002492322,9.611561022,-0.003632967,0.666666667
ElasticNet,1,model,0.0005,0,TRUE,2021-11-26,2021-12-21,18,high,18,0.000573778,0.001660301,5.486023527,-0.002065292,0.333333333
ElasticNet,1,model,0.001,0,TRUE,2021-11-26,2021-12-21,18,high,18,6.46E-05,0.000340386,3.011509067,-0.000506997,0.111111111
Lasso,1,model,0,0,TRUE,2021-11-26,2021-12-21,18,high,18,0.001592788,0.002431911,10.39706045,-0.004245058,0.666666667
Lasso,1,model,0.0005,0,TRUE,2021-11-26,2021-12-21,18,high,18,0.000608314,0.001640318,5.887077267,-0.002065292,0.333333333
Lasso,1,model,0.001,0,TRUE,2021-11-26,2021-12-21,18,high,18,0,0,,0,0
LightGBM,1,model,0,0,TRUE,2021-11-26,2021-12-21,18,high,18,-5.01E-05,0.003039571,-0.261786682,-0.005791566,0.5
LightGBM,1,model,0.0005,0,TRUE,2021-11-26,2021-12-21,18,high,18,0.000128214,0.000626855,3.246892566,-0.000506997,0.111111111
LightGBM,1,model,0.001,0,TRUE,2021-11-26,2021-12-21,18,high,18,0.000138797,0.000614274,3.586895476,-1.00E-04,0.055555556
RandomForest,1,model,0,0,TRUE,2021-11-26,2021-12-21,18,high,18,0.000526801,0.002943882,2.840708903,-0.005488247,0.555555556
RandomForest,1,model,0.0005,0,TRUE,2021-11-26,2021-12-21,18,high,18,0.000138797,0.000614274,3.586895476,-1.00E-04,0.055555556
RandomForest,1,model,0.001,0,TRUE,2021-11-26,2021-12-21,18,high,18,0,0,,0,0
Ridge,1,model,0,0,TRUE,2021-11-26,2021-12-21,18,high,18,0.001047008,0.002749531,6.044933306,-0.00507404,0.611111111
Ridge,1,model,0.0005,0,TRUE,2021-11-26,2021-12-21,18,high,18,0.000763627,0.002114366,5.733257648,-0.003632967,0.5
