model,H,strategy,tau,phase,use_non_overlapping,regime,n_obs,mean_log_ret,std_log_ret,sharpe_ann,max_drawdown,hit_rate
BASELINE,1,always_long,0,0,TRUE,high,388,-3.23E-05,0.005680262,-0.090149529,-0.185840697,0.507731959
BASELINE,1,always_long,0,0,TRUE,low,219,6.35E-05,0.003500591,0.287970701,-0.041594621,0.506849315
BASELINE,1,always_long,0,0,TRUE,mid,411,9.05E-05,0.00409893,0.35046887,-0.073385015,0.513381995
BASELINE,1,always_short,0,0,TRUE,high,388,3.23E-05,0.005680262,0.090149529,-0.159074046,0.466494845
BASELINE,1,always_short,0,0,TRUE,low,219,-6.35E-05,0.003500591,-0.287970701,-0.064683337,0.465753425
BASELINE,1,always_short,0,0,TRUE,mid,411,-9.05E-05,0.00409893,-0.35046887,-0.086068223,0.459854015
BASELINE,1,cash,0,0,TRUE,high,388,0,0,,0,0
BASELINE,1,cash,0,0,TRUE,low,219,0,0,,0,0
BASELINE,1,cash,0,0,TRUE,mid,411,0,0,,0,0
ElasticNet,1,model,0,0,TRUE,high,388,0.000330723,0.005664439,0.926845971,-0.098296633,0.518041237
ElasticNet,1,model,0,0,TRUE,low,219,0.000180942,0.00348715,0.823700304,-0.033806259,0.520547945
ElasticNet,1,model,0,0,TRUE,mid,411,0.000111221,0.004102586,0.430357654,-0.126987053,0.498783455
ElasticNet,1,model,0.0005,0,TRUE,high,388,0.000665467,0.004259255,2.480237239,-0.038379311,0.335051546
ElasticNet,1,model,0.0005,0,TRUE,low,219,-7.59E-05,0.001009844,-1.193535035,-0.027317937,0.050228311
ElasticNet,1,model,0.0005,0,TRUE,mid,411,0.000102645,0.002086898,0.78079505,-0.050863258,0.114355231
ElasticNet,1,model,0.001,0,TRUE,high,388,0.000240545,0.002895477,1.318791575,-0.031496023,0.131443299
ElasticNet,1,model,0.001,0,TRUE,low,219,-3.93E-05,0.000574863,-1.085292889,-0.00857013,0
ElasticNet,1,model,0.001,0,TRUE,mid,411,7.93E-05,0.000779922,1.614892562,-0.001291898,0.01946472
Lasso,1,model,0,0,TRUE,high,388,0.000706541,0.005625914,1.993629427,-0.057684864,0.559278351
Lasso,1,model,0,0,TRUE,low,219,8.82E-05,0.003491902,0.400989125,-0.033487336,0.502283105
Lasso,1,model,0,0,TRUE,mid,411,-4.84E-05,0.004110644,-0.187075717,-0.143671282,0.489051095
Lasso,1,model,0.0005,0,TRUE,high,388,0.000479931,0.004158345,1.83213829,-0.061890701,0.273195876
Lasso,1,model,0.0005,0,TRUE,low,219,-9.64E-05,0.000828365,-1.847443411,-0.024741171,0.00913242
Lasso,1,model,0.0005,0,TRUE,mid,411,5.41E-05,0.001432321,0.599680392,-0.024732797,0.060827251
Lasso,1,model,0.001,0,TRUE,high,388,0.000223665,0.002539371,1.398208555,-0.02136264,0.067010309
