model,H,strategy,tau,phase,use_non_overlapping,is_baseline,n_obs,mean_log_ret,std_log_ret,sharpe_ann,max_drawdown,hit_rate,turnover,tc_bps,allow_short,annual_scale,annualize_mode
ElasticNet,1,model,0,0,TRUE,FALSE,1018,0.000209881,0.004648808,0.716690044,-0.146058508,0.510805501,0.893909627,1,TRUE,15.87450787,non_overlapping
ElasticNet,1,model,0.0005,0,TRUE,FALSE,1018,0.000278743,0.002995721,1.477077408,-0.090905319,0.184675835,0.429273084,1,TRUE,15.87450787,non_overlapping
ElasticNet,1,model,0.001,0,TRUE,FALSE,1018,0.000115259,0.001875635,0.975495221,-0.031496023,0.057956778,0.135559921,1,TRUE,15.87450787,non_overlapping
ElasticNet,5,model,0,0,TRUE,FALSE,204,0.000205309,0.010312684,0.14133526,-0.15179667,0.485294118,0,1,TRUE,7.09929574,non_overlapping
ElasticNet,5,model,0,1,TRUE,FALSE,204,0.000169524,0.010355164,0.11622243,-0.148628516,0.519607843,0,1,TRUE,7.09929574,non_overlapping
ElasticNet,5,model,0,2,TRUE,FALSE,204,0.000180971,0.009636187,0.133327505,-0.144369926,0.519607843,0,1,TRUE,7.09929574,non_overlapping
ElasticNet,5,model,0,3,TRUE,FALSE,203,0.000193146,0.009863995,0.139010888,-0.142123439,0.551724138,0,1,TRUE,7.09929574,non_overlapping
ElasticNet,5,model,0,4,TRUE,FALSE,203,0.000203716,0.009941658,0.14547255,-0.147206778,0.502463054,0,1,TRUE,7.09929574,non_overlapping
ElasticNet,5,model,0.0005,0,TRUE,FALSE,204,0,0,,0,0,0,1,TRUE,7.09929574,non_overlapping
ElasticNet,5,model,0.0005,1,TRUE,FALSE,204,0,0,,0,0,0,1,TRUE,7.09929574,non_overlapping
ElasticNet,5,model,0.0005,2,TRUE,FALSE,204,0,0,,0,0,0,1,TRUE,7.09929574,non_overlapping
ElasticNet,5,model,0.0005,3,TRUE,FALSE,203,0,0,,0,0,0,1,TRUE,7.09929574,non_overlapping
ElasticNet,5,model,0.0005,4,TRUE,FALSE,203,0,0,,0,0,0,1,TRUE,7.09929574,non_overlapping
ElasticNet,5,model,0.001,0,TRUE,FALSE,204,0,0,,0,0,0,1,TRUE,7.09929574,non_overlapping
ElasticNet,5,model,0.001,1,TRUE,FALSE,204,0,0,,0,0,0,1,TRUE,7.09929574,non_overlapping
ElasticNet,5,model,0.001,2,TRUE,FALSE,204,0,0,,0,0,0,1,TRUE,7.09929574,non_overlapping
ElasticNet,5,model,0.001,3,TRUE,FALSE,203,0,0,,0,0,0,1,TRUE,7.09929574,non_overlapping
ElasticNet,5,model,0.001,4,TRUE,FALSE,203,0,0,,0,0,0,1,TRUE,7.09929574,non_overlapping
ElasticNet,10,model,0,0,TRUE,FALSE,102,0.000410617,0.014748605,0.139761088,-0.136201357,0.529411765,0,1,TRUE,5.019960159,non_overlapping
ElasticNet,10,model,0,1,TRUE,FALSE,102,0.000339048,0.014693284,0.115835868,-0.133327388,0.480392157,0,1,TRUE,5.019960159,non_overlapping
ElasticNet,10,model,0,2,TRUE,FALSE,102,0.000361943,0.013992141,0.129854141,-0.141795008,0.509803922,0,1,TRUE,5.019960159,non_overlapping
ElasticNet,10,model,0,3,TRUE,FALSE,102,0.000356874,0.014882544,0.120375366,-0.138404321,0.539215686,0,1,TRUE,5.019960159,non_overlapping
ElasticNet,10,model,0,4,TRUE,FALSE,102,0.000328833,0.014698037,0.112309491,-0.146302677,0.470588235,0,1,TRUE,5.019960159,non_overlapping
ElasticNet,10,model,0,5,TRUE,FALSE,102,0.000338826,0.014107751,0.120564366,-0.151007888,0.480392157,0,1,TRUE,5.019960159,non_overlapping
ElasticNet,10,model,0,6,TRUE,FALSE,102,0.000283872,0.013284866,0.10726676,-0.148628516,0.5,0,1,TRUE,5.019960159,non_overlapping
ElasticNet,10,model,0,7,TRUE,FALSE,102,0.000293634,0.012584399,0.117131436,-0.140487116,0.519607843,0,1,TRUE,5.019960159,non_overlapping
ElasticNet,10,model,0,8,TRUE,FALSE,101,0.00040265,0.013418516,0.150634119,-0.137771449,0.544554455,0,1,TRUE,5.019960159,non_overlapping
ElasticNet,10,model,0,9,TRUE,FALSE,101,0.000398129,0.014206333,0.140683143,-0.145529962,0.534653465,0,1,TRUE,5.019960159,non_overlapping
ElasticNet,10,model,0.0005,0,TRUE,FALSE,102,0.000156664,0.001863808,0.421955834,-0.004651486,0.019607843,0.019607843,1,TRUE,5.019960159,non_overlapping
ElasticNet,10,model,0.0005,1,TRUE,FALSE,102,0.000110368,0.001935256,0.286290017,-0.005896258,0.009803922,0.019607843,1,TRUE,5.019960159,non_overlapping
ElasticNet,10,model,0.0005,2,TRUE,FALSE,102,6.08E-05,0.002259882,0.134950733,-0.014525885,0.019607843,0.019607843,1,TRUE,5.019960159,non_overlapping
ElasticNet,10,model,0.0005,3,TRUE,FALSE,102,0.000136174,0.000961014,0.711320078,-1.00E-04,0.029411765,0.019607843,1,TRUE,5.019960159,non_overlapping
ElasticNet,10,model,0.0005,4,TRUE,FALSE,102,-0.000204111,0.001258555,-0.814129823,-0.020604062,0,0.019607843,1,TRUE,5.019960159,non_overlapping
ElasticNet,10,model,0.0005,5,TRUE,FALSE,102,-0.000350045,0.002107331,-0.833856219,-0.035074687,0,0.019607843,1,TRUE,5.019960159,non_overlapping
ElasticNet,10,model,0.0005,6,TRUE,FALSE,102,-1.80E-05,0.004530793,-0.019991062,-0.039268806,0.009803922,0.019607843,1,TRUE,5.019960159,non_overlapping
ElasticNet,10,model,0.0005,7,TRUE,FALSE,102,1.61E-06,0.004209127,0.001925726,-0.032041735,0.019607843,0.019607843,1,TRUE,5.019960159,non_overlapping
