model,H,method,feature,importance_mean
ElasticNet,1,permutation,BBW_20,-4.0957399030687496e-07
ElasticNet,1,permutation,BBW_5,-1.1100339753484658e-06
ElasticNet,1,permutation,BBW_60,0.0
ElasticNet,1,permutation,CN_10Y,0.0
ElasticNet,1,permutation,CN_CPI,0.0
ElasticNet,1,permutation,CN_Mkt_Index,0.0
ElasticNet,1,permutation,EPU_D,0.0
ElasticNet,1,permutation,Euro_CPI,0.0
ElasticNet,1,permutation,GDP,0.0
ElasticNet,1,permutation,GER_10Y,0.0
ElasticNet,1,permutation,GER_3M,3.4069825334342096e-08
ElasticNet,1,permutation,GER_Mkt_Index,9.108917165968055e-08
ElasticNet,1,permutation,GER_TermSpread,0.0
ElasticNet,1,permutation,GOLD,9.546414339311088e-07
ElasticNet,1,permutation,HK_Mkt_Index,-3.051193207323987e-06
ElasticNet,1,permutation,JP_10Y,0.0
ElasticNet,1,permutation,JP_CPI,-3.6299443481170148e-06
ElasticNet,1,permutation,JP_Mkt_Index,-3.276369676889979e-07
ElasticNet,1,permutation,MA_gap_20,-3.091354068072926e-08
ElasticNet,1,permutation,MA_gap_5,2.3329334937772175e-06
ElasticNet,1,permutation,MA_gap_60,6.195121355656534e-07
ElasticNet,1,permutation,Output_Gap,0.0
ElasticNet,1,permutation,UK_10Y,0.0
ElasticNet,1,permutation,UK_3M,0.0
ElasticNet,1,permutation,UK_Mkt_Index,-7.776091362371517e-07
ElasticNet,1,permutation,UK_TermSpread,0.0
ElasticNet,1,permutation,USD_CNY,-1.3494647989167547e-08
ElasticNet,1,permutation,USD_EUR,0.00010815416483917946
ElasticNet,1,permutation,USD_Futures,0.0001232727851060426
ElasticNet,1,permutation,USD_GBP,4.2990913550271255e-06
ElasticNet,1,permutation,USD_JPY,5.688299189433901e-06
ElasticNet,1,permutation,US_10Y,0.0
ElasticNet,1,permutation,US_3M,2.2812385101762167e-06
ElasticNet,1,permutation,US_CPI,-3.760122019317521e-07
ElasticNet,1,permutation,US_Mkt_Index,2.8468763061625414e-05
ElasticNet,1,permutation,US_TermSpread,-5.57970046028242e-08
ElasticNet,1,permutation,VIX,0.0
ElasticNet,1,permutation,WTI,0.0
