model,H,best_score,params_json
Ridge,1,0.0040427826223112,"{""alpha"": 100.0}"
Lasso,1,0.0039703637316769,"{""alpha"": 0.0001}"
ElasticNet,1,0.0039723084584386,"{""alpha"": 0.0001, ""l1_ratio"": 0.6}"
RandomForest,1,0.0039728706951932,"{""n_estimators"": 1000, ""max_depth"": 5, ""min_samples_leaf"": 1, ""max_features"": 0.5}"
XGBoost,1,0.0040013215947461,"{""n_estimators"": 500, ""max_depth"": 2, ""learning_rate"": 0.01, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""reg_lambda"": 5.0}"
LightGBM,1,0.004056618674024,"{""n_estimators"": 800, ""num_leaves"": 31, ""learning_rate"": 0.008, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""reg_lambda"": 5.0, ""max_depth"": 3, ""verbose"": -1, ""force_col_wise"": true}"
Ridge,5,0.0096071313622422,"{""alpha"": 100.0}"
Lasso,5,0.0088749787023696,"{""alpha"": 0.01}"
ElasticNet,5,0.0088749787023696,"{""alpha"": 0.01, ""l1_ratio"": 0.2}"
RandomForest,5,0.0088511813647535,"{""n_estimators"": 1000, ""max_depth"": 5, ""min_samples_leaf"": 10, ""max_features"": ""sqrt""}"
XGBoost,5,0.008965506992237,"{""n_estimators"": 500, ""max_depth"": 2, ""learning_rate"": 0.01, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""reg_lambda"": 5.0}"
LightGBM,5,0.0094825017552522,"{""n_estimators"": 800, ""num_leaves"": 31, ""learning_rate"": 0.008, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""reg_lambda"": 5.0, ""max_depth"": 3, ""verbose"": -1, ""force_col_wise"": true}"
Ridge,10,0.0140826533774629,"{""alpha"": 100.0}"
Lasso,10,0.0122100226457936,"{""alpha"": 0.01}"
ElasticNet,10,0.0122100226457936,"{""alpha"": 0.01, ""l1_ratio"": 0.4}"
RandomForest,10,0.0120682361124318,"{""n_estimators"": 500, ""max_depth"": 5, ""min_samples_leaf"": 10, ""max_features"": 0.3}"
XGBoost,10,0.0123517006356389,"{""n_estimators"": 500, ""max_depth"": 2, ""learning_rate"": 0.01, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""reg_lambda"": 3.0}"
LightGBM,10,0.0130761309334112,"{""n_estimators"": 800, ""num_leaves"": 31, ""learning_rate"": 0.008, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""reg_lambda"": 5.0, ""max_depth"": 3, ""verbose"": -1, ""force_col_wise"": true}"
Ridge,20,0.0203701573691762,"{""alpha"": 100.0}"
Lasso,20,0.0164410908487461,"{""alpha"": 0.01}"
ElasticNet,20,0.0164382232945649,"{""alpha"": 0.01, ""l1_ratio"": 0.6}"
RandomForest,20,0.0159902723983974,"{""n_estimators"": 500, ""max_depth"": 5, ""min_samples_leaf"": 1, ""max_features"": 0.3}"
XGBoost,20,0.0169618386279284,"{""n_estimators"": 500, ""max_depth"": 2, ""learning_rate"": 0.01, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""reg_lambda"": 1.0}"
LightGBM,20,0.01774062811577888,"{""n_estimators"": 800, ""num_leaves"": 63, ""learning_rate"": 0.008, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""reg_lambda"": 5.0, ""max_depth"": -1, ""verbose"": -1, ""force_col_wise"": true}"
