feature,importance
USD_Futures,0.000149674
USD_EUR,9.85E-05
US_Mkt_Index,5.26E-05
MA_gap_5,4.68E-06
USD_GBP,3.47E-06
US_3M,2.81E-06
US_CPI,2.09E-06
USD_JPY,2.05E-06
ret_lag_10,1.27E-06
GER_Mkt_Index,4.63E-07
ret_lag_1,3.98E-07
JP_Mkt_Index,1.75E-07
GER_10Y,1.83E-08
WTI,0
USD_CNY,0
US_TermSpread,0
UK_TermSpread,0
UK_3M,0
CN_Mkt_Index,0
CN_10Y,0
UK_10Y,0
JP_10Y,0
GER_3M,0
MA_gap_20,0
US_10Y,0
EPU_D,0
VIX,0
Output_Gap,0
Euro_CPI,0
BBW_5,0
BBW_60,0
ret_lag_2,0
ret_lag_5,0
ret_lag_20,0
MA_gap_60,0
CN_CPI,0
GER_TermSpread,0
GDP,0
UK_Mkt_Index,-4.60E-08
BBW_20,-8.77E-08
HK_Mkt_Index,-1.27E-07
GOLD,-7.42E-07
JP_CPI,-1.13E-06
