feature,importance
US_CPI,0.001128907
Euro_CPI,0.000744037
JP_CPI,0.000552626
Output_Gap,0.000475053
UK_TermSpread,0.000221174
MA_gap_60,0.00019755
US_10Y,0.000163345
MA_gap_20,0.000134692
CN_CPI,0.00012993
JP_10Y,9.96E-05
BBW_20,8.55E-05
US_3M,7.03E-05
UK_10Y,7.02E-05
GER_TermSpread,6.39E-05
GDP,4.90E-05
BBW_60,4.28E-05
CN_10Y,2.74E-05
GER_3M,2.55E-05
BBW_5,2.19E-05
US_TermSpread,1.76E-05
GER_10Y,1.69E-05
MA_gap_5,1.20E-05
USD_CNY,7.73E-06
USD_GBP,7.15E-06
GER_Mkt_Index,5.50E-06
UK_3M,3.48E-06
UK_Mkt_Index,2.67E-06
WTI,2.50E-06
JP_Mkt_Index,1.60E-06
HK_Mkt_Index,1.14E-06
CN_Mkt_Index,7.61E-07
ret_lag_10,1.96E-07
ret_lag_5,6.10E-08
USD_Futures,0
USD_EUR,0
US_Mkt_Index,0
GOLD,0
USD_JPY,0
EPU_D,0
ret_lag_1,0
ret_lag_20,0
ret_lag_2,0
VIX,-7.35E-06
