feature,importance
Euro_CPI,0.001327668
US_10Y,0.00115515
US_CPI,0.000861368
US_3M,0.000525702
CN_CPI,0.000369249
JP_CPI,0.000310195
GDP,0.000288969
GER_10Y,0.000280482
JP_10Y,0.000274043
UK_3M,0.000190938
GER_3M,0.000162306
US_TermSpread,0.000146929
UK_10Y,0.00014294
Output_Gap,0.000141452
UK_TermSpread,0.000123473
GER_TermSpread,0.00011267
MA_gap_60,0.000108427
BBW_60,0.000107125
VIX,8.64E-05
CN_10Y,8.56E-05
BBW_20,5.35E-05
MA_gap_20,3.24E-05
BBW_5,1.00E-05
MA_gap_5,5.76E-06
USD_Futures,4.88E-06
ret_lag_1,2.98E-06
ret_lag_20,2.97E-06
HK_Mkt_Index,2.89E-06
JP_Mkt_Index,2.81E-06
USD_CNY,2.77E-06
USD_GBP,2.51E-06
GOLD,2.25E-06
ret_lag_2,2.04E-06
USD_EUR,1.94E-06
UK_Mkt_Index,1.75E-06
GER_Mkt_Index,1.75E-06
US_Mkt_Index,1.57E-06
CN_Mkt_Index,1.49E-06
WTI,9.21E-07
ret_lag_10,7.05E-07
ret_lag_5,5.81E-07
USD_JPY,3.37E-07
EPU_D,2.81E-07
