feature,importance
US_CPI,0.000907981
Euro_CPI,0.000788653
ret_lag_1,0.000274297
USD_EUR,0.000230599
USD_Futures,0.000107297
JP_10Y,9.77E-05
VIX,5.46E-05
US_10Y,4.71E-05
US_3M,4.51E-05
GER_3M,2.49E-05
BBW_60,2.38E-05
UK_10Y,1.92E-05
CN_Mkt_Index,1.75E-05
UK_3M,1.68E-05
JP_Mkt_Index,1.50E-05
USD_JPY,1.22E-05
MA_gap_5,9.53E-06
GER_10Y,8.88E-06
USD_GBP,3.63E-06
MA_gap_60,3.51E-06
US_Mkt_Index,1.90E-06
CN_CPI,1.79E-06
ret_lag_20,8.90E-07
MA_gap_20,7.87E-07
ret_lag_2,3.84E-07
GDP,3.61E-07
BBW_20,2.29E-07
Output_Gap,1.05E-07
GER_Mkt_Index,7.70E-08
EPU_D,2.02E-08
USD_CNY,5.64E-09
ret_lag_10,-2.52E-07
US_TermSpread,-5.89E-07
JP_CPI,-7.16E-07
ret_lag_5,-7.35E-07
UK_Mkt_Index,-1.34E-06
CN_10Y,-2.99E-06
GOLD,-3.36E-06
GER_TermSpread,-6.87E-06
UK_TermSpread,-8.62E-06
WTI,-1.07E-05
BBW_5,-1.64E-05
HK_Mkt_Index,-1.92E-05
