feature,importance
Euro_CPI,0.000207175
US_CPI,0.000198416
JP_CPI,0.000159186
BBW_20,9.06E-05
MA_gap_20,6.20E-05
US_10Y,5.51E-05
VIX,3.16E-05
CN_CPI,2.36E-05
Output_Gap,1.97E-05
US_TermSpread,1.75E-05
UK_10Y,1.52E-05
MA_gap_60,1.42E-05
US_3M,1.36E-05
CN_10Y,6.22E-06
GER_TermSpread,5.64E-06
JP_10Y,4.31E-06
BBW_5,3.31E-06
JP_Mkt_Index,2.89E-06
UK_TermSpread,2.82E-06
GDP,2.69E-06
HK_Mkt_Index,1.99E-06
USD_Futures,1.81E-06
GER_Mkt_Index,1.74E-06
UK_3M,1.54E-06
GER_10Y,1.08E-06
GER_3M,1.04E-06
MA_gap_5,9.84E-07
GOLD,5.60E-07
ret_lag_1,4.65E-07
UK_Mkt_Index,3.92E-07
WTI,3.88E-07
USD_EUR,1.70E-07
BBW_60,1.95E-08
USD_CNY,0
USD_JPY,0
ret_lag_5,0
ret_lag_10,0
EPU_D,0
CN_Mkt_Index,0
ret_lag_2,-1.72E-07
ret_lag_20,-4.46E-07
USD_GBP,-7.13E-07
US_Mkt_Index,-5.44E-06
