start,end,length,regime
2006-03-29,2006-05-16,34,low
2006-05-17,2006-06-28,30,mid
2006-06-29,2006-07-12,9,low
2006-07-13,2006-08-14,23,mid
2006-08-15,2007-02-26,135,low
2007-02-27,2007-03-19,15,mid
2007-03-20,2007-06-06,56,low
2007-06-07,2007-06-13,5,mid
2007-06-14,2007-06-21,6,low
2007-06-22,2007-07-26,24,mid
2007-07-27,2007-09-24,41,high
2007-09-25,2007-10-18,18,mid
2007-10-19,2007-10-30,8,high
2007-10-31,2007-10-31,1,mid
2007-11-01,2007-12-20,35,high
2007-12-21,2007-12-28,5,mid
2007-12-31,2008-05-01,87,high
2008-05-02,2008-06-05,25,mid
2008-06-06,2010-01-07,413,high
2010-01-08,2010-01-20,9,mid
2010-01-21,2010-03-04,31,high
2010-03-05,2010-04-29,40,mid
2010-04-30,2010-11-03,134,high
2010-11-04,2010-11-25,16,mid
2010-11-26,2010-12-02,5,high
2010-12-03,2011-03-09,69,mid
2011-03-10,2011-03-23,10,high
2011-03-24,2011-06-14,59,mid
2011-06-15,2011-06-21,5,high
2011-06-22,2011-07-26,25,mid
2011-07-27,2012-01-19,127,high
2012-01-20,2012-05-11,81,mid
2012-05-14,2012-06-15,25,high
2012-06-18,2012-08-10,40,mid
2012-08-13,2012-08-22,8,low
2012-08-23,2012-09-12,15,mid
2012-09-13,2012-09-25,9,low
2012-09-26,2013-01-03,72,mid
2013-01-04,2013-02-22,36,low
2013-02-25,2013-03-01,5,mid
2013-03-04,2013-04-12,30,low
2013-04-15,2013-04-22,6,mid
2013-04-23,2013-05-30,28,low
2013-05-31,2013-07-10,29,mid
2013-07-11,2013-08-20,29,low
2013-08-21,2013-09-10,15,mid
2013-09-11,2013-09-27,13,low
2013-09-30,2013-10-16,13,mid
2013-10-17,2013-12-11,40,low
2013-12-12,2013-12-17,4,mid
2013-12-18,2014-01-23,27,low
2014-01-24,2014-02-13,15,mid
2014-02-14,2014-02-28,11,low
2014-03-03,2014-03-04,2,mid
2014-03-05,2014-03-12,6,low
2014-03-13,2014-03-24,8,mid
2014-03-25,2014-04-04,9,low
2014-04-07,2014-04-16,8,mid
2014-04-17,2014-07-30,75,low
2014-07-31,2014-08-12,9,mid
2014-08-13,2014-09-24,31,low
2014-09-25,2014-10-09,11,mid
2014-10-10,2014-10-17,6,high
2014-10-20,2014-10-30,9,mid
2014-10-31,2014-12-09,28,low
2014-12-10,2015-01-13,25,mid
2015-01-14,2015-01-21,6,high
2015-01-22,2015-02-23,23,mid
2015-02-24,2015-03-09,10,low
2015-03-10,2015-03-17,6,mid
2015-03-18,2015-03-25,6,low
2015-03-26,2015-04-07,9,mid
2015-04-08,2015-06-26,58,low
2015-06-29,2015-07-10,10,mid
2015-07-13,2015-07-24,10,low
2015-07-27,2015-07-27,1,mid
2015-07-28,2015-08-19,17,low
2015-08-20,2015-08-20,1,mid
2015-08-21,2015-10-06,33,high
2015-10-07,2016-01-06,66,mid
2016-01-07,2016-02-29,38,high
2016-03-01,2016-03-17,13,mid
2016-03-18,2016-04-06,14,low
2016-04-07,2016-04-12,4,mid
2016-04-13,2016-04-28,12,low
2016-04-29,2016-05-09,7,mid
2016-05-10,2016-05-16,5,low
2016-05-17,2016-05-24,6,mid
2016-05-25,2016-06-09,12,low
2016-06-10,2016-07-07,20,mid
2016-07-08,2016-09-08,45,low
2016-09-09,2016-09-20,8,mid
2016-09-21,2016-10-11,15,low
2016-10-12,2016-10-19,6,mid
2016-10-20,2016-10-27,6,low
2016-10-28,2016-11-14,12,mid
2016-11-15,2017-04-11,106,low
2017-04-12,2017-04-21,8,mid
2017-04-24,2017-05-16,17,low
2017-05-17,2017-05-18,2,mid
2017-05-19,2017-08-09,59,low
2017-08-10,2017-08-18,7,mid
2017-08-21,2018-02-01,119,low
2018-02-02,2018-02-02,1,mid
2018-02-05,2018-02-22,14,high
2018-02-23,2018-03-21,19,mid
2018-03-22,2018-04-11,15,high
2018-04-12,2018-05-08,19,mid
2018-05-09,2018-05-28,14,low
2018-05-29,2018-05-31,3,mid
2018-06-01,2018-06-22,16,low
2018-06-25,2018-07-05,9,mid
2018-07-06,2018-10-05,66,low
2018-10-08,2018-10-23,12,mid
2018-10-24,2018-11-06,10,high
2018-11-07,2018-11-19,9,mid
2018-11-20,2018-11-27,6,high
2018-11-28,2018-12-05,6,mid
2018-12-06,2019-01-10,26,high
2019-01-11,2019-02-19,28,mid
2019-02-20,2019-03-05,10,low
2019-03-06,2019-03-11,4,mid
2019-03-12,2019-03-21,8,low
2019-03-22,2019-03-28,5,mid
2019-03-29,2019-05-06,27,low
2019-05-07,2019-07-01,40,mid
2019-07-02,2019-07-30,21,low
2019-07-31,2019-09-12,32,mid
2019-09-13,2019-09-23,7,low
2019-09-24,2019-10-14,15,mid
2019-10-15,2019-12-02,35,low
2019-12-03,2019-12-11,7,mid
2019-12-12,2020-01-24,32,low
2020-01-27,2020-02-11,12,mid
2020-02-12,2020-02-19,6,low
2020-02-20,2020-02-21,2,mid
2020-02-24,2021-03-31,288,high
2021-04-01,2021-05-10,28,mid
2021-05-11,2021-05-21,9,high
2021-05-24,2021-09-27,91,mid
2021-09-28,2021-10-13,12,high
2021-10-14,2021-11-25,31,mid
2021-11-26,2021-12-21,18,high
2021-12-22,2022-01-17,18,mid
2022-01-18,2022-04-01,54,high
2022-04-04,2022-04-05,2,mid
2022-04-06,2023-01-12,200,high
2023-01-13,2023-02-17,26,mid
2023-02-20,2023-03-02,9,high
2023-03-03,2023-03-08,4,mid
2023-03-09,2023-03-31,17,high
2023-04-03,2023-06-05,46,mid
2023-06-06,2023-08-01,41,low
2023-08-02,2023-08-29,20,mid
2023-08-30,2023-09-20,16,low
2023-09-21,2023-10-18,20,mid
2023-10-19,2023-10-30,8,high
2023-10-31,2023-11-16,13,mid
2023-11-17,2024-02-12,60,low
2024-02-13,2024-02-14,2,mid
2024-02-15,2024-04-03,35,low
2024-04-04,2024-05-02,21,mid
2024-05-03,2024-07-17,54,low
