model,H,strategy,tau,phase,episode_start,episode_end,episode_len,regime,n_obs,mean_log_ret,std_log_ret,sharpe_ann,max_drawdown,hit_rate
BASELINE,1,always_long,0.0,0,2021-11-26,2021-12-21,18,high,18,-5.781917636033263e-06,0.0030275551862981227,-0.030316572728850282,-0.005488246867557001,0.5
BASELINE,1,always_short,0.0,0,2021-11-26,2021-12-21,18,high,18,5.781917636033263e-06,0.0030275551862981227,0.030316572728850282,-0.007041524282903722,0.5
BASELINE,1,cash,0.0,0,2021-11-26,2021-12-21,18,high,18,0.0,0.0,,0.0,0.0
ElasticNet,1,model,0.0,0,2021-11-26,2021-12-21,18,high,18,0.0015090298072709058,0.0024923220578147915,9.611561022389916,-0.0036329665767074193,0.6666666666666666
ElasticNet,1,model,0.0005,0,2021-11-26,2021-12-21,18,high,18,0.0005737784138754834,0.0016603009264723376,5.486023527061789,-0.0020652921567716476,0.3333333333333333
ElasticNet,1,model,0.001,0,2021-11-26,2021-12-21,18,high,18,6.457368373045555e-05,0.00034038597508258457,3.011509067293486,-0.0005069965381014896,0.1111111111111111
Lasso,1,model,0.0,0,2021-11-26,2021-12-21,18,high,18,0.001592787925863078,0.002431910882371163,10.397060452292319,-0.004245057560213095,0.6666666666666666
Lasso,1,model,0.0005,0,2021-11-26,2021-12-21,18,high,18,0.0006083135717771945,0.001640317961253852,5.887077267035383,-0.0020652921567716476,0.3333333333333333
Lasso,1,model,0.001,0,2021-11-26,2021-12-21,18,high,18,0.0,0.0,,0.0,0.0
LightGBM,1,model,0.0,0,2021-11-26,2021-12-21,18,high,18,-6.12709041946111e-05,0.003025613134107503,-0.32147052762743344,-0.011671615773263921,0.5555555555555556
LightGBM,1,model,0.0005,0,2021-11-26,2021-12-21,18,high,18,0.00012821372683505556,0.0006268546846001415,3.2468925657311645,-0.0005069965381017116,0.1111111111111111
LightGBM,1,model,0.001,0,2021-11-26,2021-12-21,18,high,18,0.00015083178818524445,0.0006165446055704332,3.883547737527698,-9.999500016666385e-05,0.1111111111111111
RandomForest,1,model,0.0,0,2021-11-26,2021-12-21,18,high,18,-5.781917636033263e-06,0.0030275551862981227,-0.030316572728850282,-0.005488246867557001,0.5
RandomForest,1,model,0.0005,0,2021-11-26,2021-12-21,18,high,18,0.0001387971618276889,0.0006142740016520079,3.586895475537517,-9.999500016666385e-05,0.05555555555555555
RandomForest,1,model,0.001,0,2021-11-26,2021-12-21,18,high,18,0.0,0.0,,0.0,0.0
Ridge,1,model,0.0,0,2021-11-26,2021-12-21,18,high,18,0.0010470077783192946,0.002749531280554344,6.044933305776982,-0.005074039556798526,0.6111111111111112
Ridge,1,model,0.0005,0,2021-11-26,2021-12-21,18,high,18,0.0007636272736301334,0.0021143663700025845,5.733257648349188,-0.0036329665767074193,0.5
Ridge,1,model,0.001,0,2021-11-26,2021-12-21,18,high,18,0.0006833704540433501,0.0017910529222313954,6.056867172217738,-0.0018656852551780512,0.3333333333333333
XGBoost,1,model,0.0,0,2021-11-26,2021-12-21,18,high,18,-5.781917636033263e-06,0.0030275551862981227,-0.030316572728850282,-0.005488246867557001,0.5
