model,H,strategy,tau,phase,use_non_overlapping,is_baseline,n_obs,mean_log_ret,std_log_ret,sharpe_ann,max_drawdown,hit_rate,turnover,tc_bps,allow_short,annual_scale,annualize_mode
ElasticNet,1,model,0.0,0,True,False,1018,0.00020988078505969373,0.004648807666864156,0.7166900444563088,-0.14605850813254173,0.5108055009823183,0.8939096267190569,1.0,True,15.874507866387544,non_overlapping
ElasticNet,1,model,0.0005,0,True,False,1018,0.00027874324771123073,0.0029957210464986164,1.4770774080137263,-0.09090531916071887,0.18467583497053044,0.4292730844793713,1.0,True,15.874507866387544,non_overlapping
ElasticNet,1,model,0.001,0,True,False,1018,0.00011525857954814821,0.0018756352556224903,0.9754952207370922,-0.03149602303435106,0.05795677799607073,0.13555992141453832,1.0,True,15.874507866387544,non_overlapping
ElasticNet,5,model,0.0,0,True,False,204,0.00020530851157641057,0.010312683754559746,0.14133526017590897,-0.1517966695880797,0.4852941176470588,0.0,1.0,True,7.0992957397195395,non_overlapping
ElasticNet,5,model,0.0,1,True,False,204,0.00016952418241030398,0.010355163873421393,0.11622242976317732,-0.14862851634387841,0.5196078431372549,0.0,1.0,True,7.0992957397195395,non_overlapping
ElasticNet,5,model,0.0,2,True,False,204,0.0001809713000740536,0.009636187071063554,0.1333275049718845,-0.14436992587363218,0.5196078431372549,0.0,1.0,True,7.0992957397195395,non_overlapping
ElasticNet,5,model,0.0,3,True,False,203,0.00019314629362148162,0.009863994649886009,0.1390108883996049,-0.14212343929868032,0.5517241379310345,0.0,1.0,True,7.0992957397195395,non_overlapping
ElasticNet,5,model,0.0,4,True,False,203,0.00020371575736296483,0.009941658465634827,0.14547255001364462,-0.14720677786603031,0.5024630541871922,0.0,1.0,True,7.0992957397195395,non_overlapping
ElasticNet,5,model,0.0005,0,True,False,204,0.0,0.0,,0.0,0.0,0.0,1.0,True,7.0992957397195395,non_overlapping
ElasticNet,5,model,0.0005,1,True,False,204,0.0,0.0,,0.0,0.0,0.0,1.0,True,7.0992957397195395,non_overlapping
ElasticNet,5,model,0.0005,2,True,False,204,0.0,0.0,,0.0,0.0,0.0,1.0,True,7.0992957397195395,non_overlapping
ElasticNet,5,model,0.0005,3,True,False,203,0.0,0.0,,0.0,0.0,0.0,1.0,True,7.0992957397195395,non_overlapping
ElasticNet,5,model,0.0005,4,True,False,203,0.0,0.0,,0.0,0.0,0.0,1.0,True,7.0992957397195395,non_overlapping
ElasticNet,5,model,0.001,0,True,False,204,0.0,0.0,,0.0,0.0,0.0,1.0,True,7.0992957397195395,non_overlapping
ElasticNet,5,model,0.001,1,True,False,204,0.0,0.0,,0.0,0.0,0.0,1.0,True,7.0992957397195395,non_overlapping
ElasticNet,5,model,0.001,2,True,False,204,0.0,0.0,,0.0,0.0,0.0,1.0,True,7.0992957397195395,non_overlapping
ElasticNet,5,model,0.001,3,True,False,203,0.0,0.0,,0.0,0.0,0.0,1.0,True,7.0992957397195395,non_overlapping
ElasticNet,5,model,0.001,4,True,False,203,0.0,0.0,,0.0,0.0,0.0,1.0,True,7.0992957397195395,non_overlapping
ElasticNet,10,model,0.0,0,True,False,102,0.00041061702315281506,0.014748605126920297,0.1397610878574445,-0.13620135665833644,0.5294117647058824,0.0,1.0,True,5.019960159204453,non_overlapping
ElasticNet,10,model,0.0,1,True,False,102,0.0003390483648206098,0.01469328380979449,0.1158358679703937,-0.13332738785338405,0.4803921568627451,0.0,1.0,True,5.019960159204453,non_overlapping
ElasticNet,10,model,0.0,2,True,False,102,0.00036194260014810154,0.01399214086874584,0.129854140957144,-0.14179500796601174,0.5098039215686274,0.0,1.0,True,5.019960159204453,non_overlapping
ElasticNet,10,model,0.0,3,True,False,102,0.00035687367934967,0.014882543782420168,0.12037536582423679,-0.13840432126095836,0.5392156862745098,0.0,1.0,True,5.019960159204453,non_overlapping
ElasticNet,10,model,0.0,4,True,False,102,0.0003288331021133238,0.014698037105395545,0.11230949138307213,-0.1463026769149206,0.47058823529411764,0.0,1.0,True,5.019960159204453,non_overlapping
ElasticNet,10,model,0.0,5,True,False,102,0.0003388258166301765,0.01410775132802451,0.12056436641427344,-0.15100788781770336,0.4803921568627451,0.0,1.0,True,5.019960159204453,non_overlapping
ElasticNet,10,model,0.0,6,True,False,102,0.000283871670563309,0.013284865532402714,0.10726675953767756,-0.14862851634387864,0.5,0.0,1.0,True,5.019960159204453,non_overlapping
ElasticNet,10,model,0.0,7,True,False,102,0.0002936335410581412,0.0125843985616958,0.11713143622172137,-0.1404871161313096,0.5196078431372549,0.0,1.0,True,5.019960159204453,non_overlapping
ElasticNet,10,model,0.0,8,True,False,101,0.00040264989197478525,0.01341851649298964,0.1506341194182977,-0.13777144891420368,0.5445544554455446,0.0,1.0,True,5.019960159204453,non_overlapping
ElasticNet,10,model,0.0,9,True,False,101,0.0003981289677396415,0.014206332834970362,0.14068314317953012,-0.1455299620510111,0.5346534653465347,0.0,1.0,True,5.019960159204453,non_overlapping
ElasticNet,10,model,0.0005,0,True,False,102,0.00015666354289819217,0.0018638082029098324,0.42195583350310495,-0.004651485562019331,0.0196078431372549,0.0196078431372549,1.0,True,5.019960159204453,non_overlapping
ElasticNet,10,model,0.0005,1,True,False,102,0.00011036829323820097,0.0019352558697564208,0.2862900165056197,-0.005896258295002621,0.00980392156862745,0.0196078431372549,1.0,True,5.019960159204453,non_overlapping
ElasticNet,10,model,0.0005,2,True,False,102,6.075202300856765e-05,0.0022598820217157173,0.13495073289823536,-0.014525884610271711,0.0196078431372549,0.0196078431372549,1.0,True,5.019960159204453,non_overlapping
ElasticNet,10,model,0.0005,3,True,False,102,0.00013617415717845198,0.0009610144074658868,0.7113200784904357,-9.999500016677487e-05,0.029411764705882353,0.0196078431372549,1.0,True,5.019960159204453,non_overlapping
ElasticNet,10,model,0.0005,4,True,False,102,-0.0002041106588503441,0.0012585552651847246,-0.8141298231725321,-0.02060406204212184,0.0,0.0196078431372549,1.0,True,5.019960159204453,non_overlapping
ElasticNet,10,model,0.0005,5,True,False,102,-0.0003500448685649294,0.002107331281793299,-0.8338562186741477,-0.03507468709681638,0.0,0.0196078431372549,1.0,True,5.019960159204453,non_overlapping
ElasticNet,10,model,0.0005,6,True,False,102,-1.8043043295501952e-05,0.004530792744561151,-0.019991061962158652,-0.03926880599262372,0.00980392156862745,0.0196078431372549,1.0,True,5.019960159204453,non_overlapping
ElasticNet,10,model,0.0005,7,True,False,102,1.6146794635509188e-06,0.004209127381538473,0.0019257261285232368,-0.0320417353646153,0.0196078431372549,0.0196078431372549,1.0,True,5.019960159204453,non_overlapping
ElasticNet,10,model,0.0005,8,True,False,101,-0.0001409915648244821,0.0035090007651583125,-0.20170187628068537,-0.03703115396019996,0.019801980198019802,0.019801980198019802,1.0,True,5.019960159204453,non_overlapping
ElasticNet,10,model,0.0005,9,True,False,101,8.69232173036565e-05,0.003288230964939373,0.13270086329908154,-0.022690622595256338,0.019801980198019802,0.019801980198019802,1.0,True,5.019960159204453,non_overlapping
ElasticNet,10,model,0.001,0,True,False,102,0.0,0.0,,0.0,0.0,0.0,1.0,True,5.019960159204453,non_overlapping
ElasticNet,10,model,0.001,1,True,False,102,0.0,0.0,,0.0,0.0,0.0,1.0,True,5.019960159204453,non_overlapping
ElasticNet,10,model,0.001,2,True,False,102,0.0,0.0,,0.0,0.0,0.0,1.0,True,5.019960159204453,non_overlapping
ElasticNet,10,model,0.001,3,True,False,102,0.0,0.0,,0.0,0.0,0.0,1.0,True,5.019960159204453,non_overlapping
ElasticNet,10,model,0.001,4,True,False,102,0.0,0.0,,0.0,0.0,0.0,1.0,True,5.019960159204453,non_overlapping
ElasticNet,10,model,0.001,5,True,False,102,0.0,0.0,,0.0,0.0,0.0,1.0,True,5.019960159204453,non_overlapping
ElasticNet,10,model,0.001,6,True,False,102,0.0,0.0,,0.0,0.0,0.0,1.0,True,5.019960159204453,non_overlapping
ElasticNet,10,model,0.001,7,True,False,102,0.0,0.0,,0.0,0.0,0.0,1.0,True,5.019960159204453,non_overlapping
ElasticNet,10,model,0.001,8,True,False,101,0.0,0.0,,0.0,0.0,0.0,1.0,True,5.019960159204453,non_overlapping
ElasticNet,10,model,0.001,9,True,False,101,0.0,0.0,,0.0,0.0,0.0,1.0,True,5.019960159204453,non_overlapping
ElasticNet,20,model,0.0,0,True,False,51,0.0008212340463056352,0.01921295578697323,0.15172531053767419,-0.1250111856823265,0.5098039215686274,0.0,1.0,True,3.5496478698597698,non_overlapping
ElasticNet,20,model,0.0,1,True,False,51,0.0006780967296412174,0.01934300626127201,0.12443797925811854,-0.12513455328309964,0.49019607843137253,0.0,1.0,True,3.5496478698597698,non_overlapping
ElasticNet,20,model,0.0,2,True,False,51,0.00072388520029621,0.01964591455355562,0.1307924633515932,-0.12393354288280167,0.49019607843137253,0.0,1.0,True,3.5496478698597698,non_overlapping
ElasticNet,20,model,0.0,3,True,False,51,0.0007137473586993488,0.021563749388335645,0.1174912463412156,-0.13840432126095847,0.5294117647058824,0.0,1.0,True,3.5496478698597698,non_overlapping
