strategy,(多项),,,,,
H,1,,,,,
,,,,,,
model,tau,求和项:mean_log_ret_mean,求和项:sharpe_ann_mean,求和项:hit_rate_mean,求和项:turnover_mean,求和项:max_drawdown_mean
BASELINE,0,3.79019E-05,0.12921678,0.509823183,0,-0.153185523
ElasticNet,0,0.000209881,0.716690044,0.510805501,0.893909627,-0.146058508
,0.0005,0.000278743,1.477077408,0.184675835,0.429273084,-0.090905319
,0.001,0.000115259,0.975495221,0.057956778,0.135559921,-0.031496023
Lasso,0,0.000268708,0.918008586,0.518664047,0.933202358,-0.139848119
,0.0005,0.000184027,1.058884339,0.13064833,0.311394892,-0.089157127
,0.001,8.85004E-05,0.892739284,0.026522593,0.064833006,-0.02136264
LightGBM,0,-0.00014178,-0.483249357,0.472495088,0.717092338,-0.321526301
,0.0005,9.1449E-05,0.491523383,0.138506876,0.293713163,-0.145795628
,0.001,1.51614E-05,0.116184428,0.061886051,0.158153242,-0.097113411
RandomForest,0,-1.69535E-05,-0.057791321,0.483300589,0.367387033,-0.180613961
,0.0005,4.98533E-05,0.495962798,0.024557957,0.069744597,-0.032948266
,0.001,3.12977E-05,0.503229495,0.004911591,0.017681729,-0.016010334
Ridge,0,0.000355089,1.21544122,0.533398821,0.736738703,-0.074439815
,0.0005,0.000278063,1.214599803,0.292730845,0.593320236,-0.100432939
,0.001,0.000285105,1.656214844,0.160117878,0.344793713,-0.041627961
XGBoost,0,2.35797E-06,0.008042548,0.491159136,0.559921415,-0.231232328
,0.0005,8.75281E-05,0.547456002,0.090373281,0.162082515,-0.053216242
,0.001,8.71415E-05,0.775928317,0.030451866,0.075638507,-0.040740693
